都道府県,開始日,終了日,救急搬送困難事案数
鹿児島県,"2020-09-28","2020-10-04",1
沖縄県,"2020-09-28","2020-10-04",1
北海道,"2020-10-05","2020-10-11",45
青森県,"2020-10-05","2020-10-11",0
岩手県,"2020-10-05","2020-10-11",4
宮城県,"2020-10-05","2020-10-11",35
秋田県,"2020-10-05","2020-10-11",0
山形県,"2020-10-05","2020-10-11",2
福島県,"2020-10-05","2020-10-11",1
茨城県,"2020-10-05","2020-10-11",8
栃木県,"2020-10-05","2020-10-11",7
群馬県,"2020-10-05","2020-10-11",0
埼玉県,"2020-10-05","2020-10-11",25
千葉県,"2020-10-05","2020-10-11",52
東京都,"2020-10-05","2020-10-11",531
神奈川県,"2020-10-05","2020-10-11",78
新潟県,"2020-10-05","2020-10-11",17
富山県,"2020-10-05","2020-10-11",0
石川県,"2020-10-05","2020-10-11",2
福井県,"2020-10-05","2020-10-11",0
山梨県,"2020-10-05","2020-10-11",2
長野県,"2020-10-05","2020-10-11",0
岐阜県,"2020-10-05","2020-10-11",0
静岡県,"2020-10-05","2020-10-11",6
愛知県,"2020-10-05","2020-10-11",10
三重県,"2020-10-05","2020-10-11",0
滋賀県,"2020-10-05","2020-10-11",0
京都府,"2020-10-05","2020-10-11",7
大阪府,"2020-10-05","2020-10-11",163
兵庫県,"2020-10-05","2020-10-11",12
奈良県,"2020-10-05","2020-10-11",3
和歌山県,"2020-10-05","2020-10-11",0
鳥取県,"2020-10-05","2020-10-11",0
島根県,"2020-10-05","2020-10-11",0
岡山県,"2020-10-05","2020-10-11",2
広島県,"2020-10-05","2020-10-11",19
山口県,"2020-10-05","2020-10-11",2
徳島県,"2020-10-05","2020-10-11",3
香川県,"2020-10-05","2020-10-11",1
愛媛県,"2020-10-05","2020-10-11",1
高知県,"2020-10-05","2020-10-11",2
福岡県,"2020-10-05","2020-10-11",11
佐賀県,"2020-10-05","2020-10-11",3
長崎県,"2020-10-05","2020-10-11",1
熊本県,"2020-10-05","2020-10-11",1
大分県,"2020-10-05","2020-10-11",2
宮崎県,"2020-10-05","2020-10-11",2
鹿児島県,"2020-10-05","2020-10-11",4
沖縄県,"2020-10-05","2020-10-11",3
北海道,"2020-10-12","2020-10-18",35
青森県,"2020-10-12","2020-10-18",1
岩手県,"2020-10-12","2020-10-18",4
宮城県,"2020-10-12","2020-10-18",25
秋田県,"2020-10-12","2020-10-18",0
山形県,"2020-10-12","2020-10-18",8
福島県,"2020-10-12","2020-10-18",0
茨城県,"2020-10-12","2020-10-18",10
栃木県,"2020-10-12","2020-10-18",6
群馬県,"2020-10-12","2020-10-18",0
埼玉県,"2020-10-12","2020-10-18",37
千葉県,"2020-10-12","2020-10-18",70
東京都,"2020-10-12","2020-10-18",481
神奈川県,"2020-10-12","2020-10-18",87
新潟県,"2020-10-12","2020-10-18",5
富山県,"2020-10-12","2020-10-18",0
石川県,"2020-10-12","2020-10-18",4
福井県,"2020-10-12","2020-10-18",0
山梨県,"2020-10-12","2020-10-18",8
長野県,"2020-10-12","2020-10-18",0
岐阜県,"2020-10-12","2020-10-18",0
静岡県,"2020-10-12","2020-10-18",3
愛知県,"2020-10-12","2020-10-18",14
三重県,"2020-10-12","2020-10-18",3
滋賀県,"2020-10-12","2020-10-18",0
京都府,"2020-10-12","2020-10-18",12
大阪府,"2020-10-12","2020-10-18",137
兵庫県,"2020-10-12","2020-10-18",10
奈良県,"2020-10-12","2020-10-18",3
和歌山県,"2020-10-12","2020-10-18",5
鳥取県,"2020-10-12","2020-10-18",0
島根県,"2020-10-12","2020-10-18",0
岡山県,"2020-10-12","2020-10-18",0
広島県,"2020-10-12","2020-10-18",22
山口県,"2020-10-12","2020-10-18",1
徳島県,"2020-10-12","2020-10-18",1
香川県,"2020-10-12","2020-10-18",5
愛媛県,"2020-10-12","2020-10-18",0
高知県,"2020-10-12","2020-10-18",4
福岡県,"2020-10-12","2020-10-18",9
佐賀県,"2020-10-12","2020-10-18",3
長崎県,"2020-10-12","2020-10-18",7
熊本県,"2020-10-12","2020-10-18",4
大分県,"2020-10-12","2020-10-18",2
宮崎県,"2020-10-12","2020-10-18",4
鹿児島県,"2020-10-12","2020-10-18",2
沖縄県,"2020-10-12","2020-10-18",0
北海道,"2020-10-19","2020-10-25",46
青森県,"2020-10-19","2020-10-25",0
岩手県,"2020-10-19","2020-10-25",4
宮城県,"2020-10-19","2020-10-25",35
秋田県,"2020-10-19","2020-10-25",0
山形県,"2020-10-19","2020-10-25",10
福島県,"2020-10-19","2020-10-25",2
茨城県,"2020-10-19","2020-10-25",10
栃木県,"2020-10-19","2020-10-25",1
群馬県,"2020-10-19","2020-10-25",0
埼玉県,"2020-10-19","2020-10-25",34
千葉県,"2020-10-19","2020-10-25",74
東京都,"2020-10-19","2020-10-25",533
神奈川県,"2020-10-19","2020-10-25",81
新潟県,"2020-10-19","2020-10-25",5
富山県,"2020-10-19","2020-10-25",1
石川県,"2020-10-19","2020-10-25",0
福井県,"2020-10-19","2020-10-25",0
山梨県,"2020-10-19","2020-10-25",10
長野県,"2020-10-19","2020-10-25",0
岐阜県,"2020-10-19","2020-10-25",0
静岡県,"2020-10-19","2020-10-25",3
愛知県,"2020-10-19","2020-10-25",12
三重県,"2020-10-19","2020-10-25",1
滋賀県,"2020-10-19","2020-10-25",1
京都府,"2020-10-19","2020-10-25",13
大阪府,"2020-10-19","2020-10-25",145
兵庫県,"2020-10-19","2020-10-25",8
奈良県,"2020-10-19","2020-10-25",2
和歌山県,"2020-10-19","2020-10-25",2
鳥取県,"2020-10-19","2020-10-25",1
島根県,"2020-10-19","2020-10-25",0
岡山県,"2020-10-19","2020-10-25",3
広島県,"2020-10-19","2020-10-25",21
山口県,"2020-10-19","2020-10-25",0
徳島県,"2020-10-19","2020-10-25",0
香川県,"2020-10-19","2020-10-25",8
愛媛県,"2020-10-19","2020-10-25",1
高知県,"2020-10-19","2020-10-25",4
福岡県,"2020-10-19","2020-10-25",12
佐賀県,"2020-10-19","2020-10-25",1
長崎県,"2020-10-19","2020-10-25",3
熊本県,"2020-10-19","2020-10-25",13
大分県,"2020-10-19","2020-10-25",3
宮崎県,"2020-10-19","2020-10-25",8
鹿児島県,"2020-10-19","2020-10-25",1
沖縄県,"2020-10-19","2020-10-25",0
北海道,"2020-10-26","2020-11-01",48
青森県,"2020-10-26","2020-11-01",1
岩手県,"2020-10-26","2020-11-01",3
宮城県,"2020-10-26","2020-11-01",24
秋田県,"2020-10-26","2020-11-01",0
山形県,"2020-10-26","2020-11-01",6
福島県,"2020-10-26","2020-11-01",0
茨城県,"2020-10-26","2020-11-01",4
栃木県,"2020-10-26","2020-11-01",7
群馬県,"2020-10-26","2020-11-01",0
埼玉県,"2020-10-26","2020-11-01",29
千葉県,"2020-10-26","2020-11-01",65
東京都,"2020-10-26","2020-11-01",508
神奈川県,"2020-10-26","2020-11-01",92
新潟県,"2020-10-26","2020-11-01",19
富山県,"2020-10-26","2020-11-01",0
石川県,"2020-10-26","2020-11-01",2
福井県,"2020-10-26","2020-11-01",0
山梨県,"2020-10-26","2020-11-01",1
長野県,"2020-10-26","2020-11-01",2
岐阜県,"2020-10-26","2020-11-01",0
静岡県,"2020-10-26","2020-11-01",6
愛知県,"2020-10-26","2020-11-01",12
三重県,"2020-10-26","2020-11-01",2
滋賀県,"2020-10-26","2020-11-01",0
京都府,"2020-10-26","2020-11-01",17
大阪府,"2020-10-26","2020-11-01",159
兵庫県,"2020-10-26","2020-11-01",8
奈良県,"2020-10-26","2020-11-01",5
和歌山県,"2020-10-26","2020-11-01",1
鳥取県,"2020-10-26","2020-11-01",0
島根県,"2020-10-26","2020-11-01",0
岡山県,"2020-10-26","2020-11-01",4
広島県,"2020-10-26","2020-11-01",26
山口県,"2020-10-26","2020-11-01",5
徳島県,"2020-10-26","2020-11-01",1
香川県,"2020-10-26","2020-11-01",6
愛媛県,"2020-10-26","2020-11-01",0
高知県,"2020-10-26","2020-11-01",3
福岡県,"2020-10-26","2020-11-01",5
佐賀県,"2020-10-26","2020-11-01",2
長崎県,"2020-10-26","2020-11-01",1
熊本県,"2020-10-26","2020-11-01",3
大分県,"2020-10-26","2020-11-01",2
宮崎県,"2020-10-26","2020-11-01",8
鹿児島県,"2020-10-26","2020-11-01",2
沖縄県,"2020-10-26","2020-11-01",0
北海道,"2020-11-02","2020-11-08",40
青森県,"2020-11-02","2020-11-08",0
岩手県,"2020-11-02","2020-11-08",6
宮城県,"2020-11-02","2020-11-08",37
秋田県,"2020-11-02","2020-11-08",0
山形県,"2020-11-02","2020-11-08",8
福島県,"2020-11-02","2020-11-08",2
茨城県,"2020-11-02","2020-11-08",9
栃木県,"2020-11-02","2020-11-08",2
群馬県,"2020-11-02","2020-11-08",0
埼玉県,"2020-11-02","2020-11-08",34
千葉県,"2020-11-02","2020-11-08",69
東京都,"2020-11-02","2020-11-08",552
神奈川県,"2020-11-02","2020-11-08",112
新潟県,"2020-11-02","2020-11-08",10
富山県,"2020-11-02","2020-11-08",0
石川県,"2020-11-02","2020-11-08",5
福井県,"2020-11-02","2020-11-08",0
山梨県,"2020-11-02","2020-11-08",3
長野県,"2020-11-02","2020-11-08",0
岐阜県,"2020-11-02","2020-11-08",1
静岡県,"2020-11-02","2020-11-08",2
愛知県,"2020-11-02","2020-11-08",9
三重県,"2020-11-02","2020-11-08",0
滋賀県,"2020-11-02","2020-11-08",0
京都府,"2020-11-02","2020-11-08",15
大阪府,"2020-11-02","2020-11-08",179
兵庫県,"2020-11-02","2020-11-08",7
奈良県,"2020-11-02","2020-11-08",3
和歌山県,"2020-11-02","2020-11-08",2
鳥取県,"2020-11-02","2020-11-08",0
島根県,"2020-11-02","2020-11-08",0
岡山県,"2020-11-02","2020-11-08",1
広島県,"2020-11-02","2020-11-08",37
山口県,"2020-11-02","2020-11-08",4
徳島県,"2020-11-02","2020-11-08",4
香川県,"2020-11-02","2020-11-08",4
愛媛県,"2020-11-02","2020-11-08",1
高知県,"2020-11-02","2020-11-08",1
福岡県,"2020-11-02","2020-11-08",16
佐賀県,"2020-11-02","2020-11-08",1
長崎県,"2020-11-02","2020-11-08",3
熊本県,"2020-11-02","2020-11-08",8
大分県,"2020-11-02","2020-11-08",6
宮崎県,"2020-11-02","2020-11-08",5
鹿児島県,"2020-11-02","2020-11-08",0
沖縄県,"2020-11-02","2020-11-08",0
北海道,"2020-11-09","2020-11-15",73
青森県,"2020-11-09","2020-11-15",1
岩手県,"2020-11-09","2020-11-15",5
宮城県,"2020-11-09","2020-11-15",40
秋田県,"2020-11-09","2020-11-15",0
山形県,"2020-11-09","2020-11-15",3
福島県,"2020-11-09","2020-11-15",2
茨城県,"2020-11-09","2020-11-15",10
栃木県,"2020-11-09","2020-11-15",0
群馬県,"2020-11-09","2020-11-15",0
埼玉県,"2020-11-09","2020-11-15",33
千葉県,"2020-11-09","2020-11-15",51
東京都,"2020-11-09","2020-11-15",637
神奈川県,"2020-11-09","2020-11-15",104
新潟県,"2020-11-09","2020-11-15",19
富山県,"2020-11-09","2020-11-15",1
石川県,"2020-11-09","2020-11-15",3
福井県,"2020-11-09","2020-11-15",0
山梨県,"2020-11-09","2020-11-15",6
長野県,"2020-11-09","2020-11-15",0
岐阜県,"2020-11-09","2020-11-15",0
静岡県,"2020-11-09","2020-11-15",3
愛知県,"2020-11-09","2020-11-15",10
三重県,"2020-11-09","2020-11-15",0
滋賀県,"2020-11-09","2020-11-15",0
京都府,"2020-11-09","2020-11-15",10
大阪府,"2020-11-09","2020-11-15",184
兵庫県,"2020-11-09","2020-11-15",14
奈良県,"2020-11-09","2020-11-15",4
和歌山県,"2020-11-09","2020-11-15",2
鳥取県,"2020-11-09","2020-11-15",0
島根県,"2020-11-09","2020-11-15",0
岡山県,"2020-11-09","2020-11-15",2
広島県,"2020-11-09","2020-11-15",26
山口県,"2020-11-09","2020-11-15",5
徳島県,"2020-11-09","2020-11-15",2
香川県,"2020-11-09","2020-11-15",3
愛媛県,"2020-11-09","2020-11-15",0
高知県,"2020-11-09","2020-11-15",3
福岡県,"2020-11-09","2020-11-15",12
佐賀県,"2020-11-09","2020-11-15",3
長崎県,"2020-11-09","2020-11-15",1
熊本県,"2020-11-09","2020-11-15",4
大分県,"2020-11-09","2020-11-15",2
宮崎県,"2020-11-09","2020-11-15",6
鹿児島県,"2020-11-09","2020-11-15",1
沖縄県,"2020-11-09","2020-11-15",0
北海道,"2020-11-16","2020-11-22",98
青森県,"2020-11-16","2020-11-22",0
岩手県,"2020-11-16","2020-11-22",5
宮城県,"2020-11-16","2020-11-22",32
秋田県,"2020-11-16","2020-11-22",0
山形県,"2020-11-16","2020-11-22",4
福島県,"2020-11-16","2020-11-22",2
茨城県,"2020-11-16","2020-11-22",12
栃木県,"2020-11-16","2020-11-22",4
群馬県,"2020-11-16","2020-11-22",1
埼玉県,"2020-11-16","2020-11-22",30
千葉県,"2020-11-16","2020-11-22",60
東京都,"2020-11-16","2020-11-22",724
神奈川県,"2020-11-16","2020-11-22",140
新潟県,"2020-11-16","2020-11-22",12
富山県,"2020-11-16","2020-11-22",0
石川県,"2020-11-16","2020-11-22",7
福井県,"2020-11-16","2020-11-22",0
山梨県,"2020-11-16","2020-11-22",9
長野県,"2020-11-16","2020-11-22",0
岐阜県,"2020-11-16","2020-11-22",1
静岡県,"2020-11-16","2020-11-22",3
愛知県,"2020-11-16","2020-11-22",22
三重県,"2020-11-16","2020-11-22",0
滋賀県,"2020-11-16","2020-11-22",0
京都府,"2020-11-16","2020-11-22",9
大阪府,"2020-11-16","2020-11-22",192
兵庫県,"2020-11-16","2020-11-22",12
奈良県,"2020-11-16","2020-11-22",9
和歌山県,"2020-11-16","2020-11-22",7
鳥取県,"2020-11-16","2020-11-22",0
島根県,"2020-11-16","2020-11-22",0
岡山県,"2020-11-16","2020-11-22",3
広島県,"2020-11-16","2020-11-22",26
山口県,"2020-11-16","2020-11-22",3
徳島県,"2020-11-16","2020-11-22",2
香川県,"2020-11-16","2020-11-22",7
愛媛県,"2020-11-16","2020-11-22",0
高知県,"2020-11-16","2020-11-22",3
福岡県,"2020-11-16","2020-11-22",16
佐賀県,"2020-11-16","2020-11-22",1
長崎県,"2020-11-16","2020-11-22",4
熊本県,"2020-11-16","2020-11-22",2
大分県,"2020-11-16","2020-11-22",5
宮崎県,"2020-11-16","2020-11-22",5
鹿児島県,"2020-11-16","2020-11-22",3
沖縄県,"2020-11-16","2020-11-22",0
北海道,"2020-11-23","2020-11-29",82
青森県,"2020-11-23","2020-11-29",0
岩手県,"2020-11-23","2020-11-29",7
宮城県,"2020-11-23","2020-11-29",29
秋田県,"2020-11-23","2020-11-29",0
山形県,"2020-11-23","2020-11-29",3
福島県,"2020-11-23","2020-11-29",1
茨城県,"2020-11-23","2020-11-29",11
栃木県,"2020-11-23","2020-11-29",2
群馬県,"2020-11-23","2020-11-29",1
埼玉県,"2020-11-23","2020-11-29",31
千葉県,"2020-11-23","2020-11-29",71
東京都,"2020-11-23","2020-11-29",617
神奈川県,"2020-11-23","2020-11-29",143
新潟県,"2020-11-23","2020-11-29",16
富山県,"2020-11-23","2020-11-29",0
石川県,"2020-11-23","2020-11-29",0
福井県,"2020-11-23","2020-11-29",0
山梨県,"2020-11-23","2020-11-29",7
長野県,"2020-11-23","2020-11-29",0
岐阜県,"2020-11-23","2020-11-29",1
静岡県,"2020-11-23","2020-11-29",1
愛知県,"2020-11-23","2020-11-29",12
三重県,"2020-11-23","2020-11-29",0
滋賀県,"2020-11-23","2020-11-29",0
京都府,"2020-11-23","2020-11-29",14
大阪府,"2020-11-23","2020-11-29",220
兵庫県,"2020-11-23","2020-11-29",12
奈良県,"2020-11-23","2020-11-29",5
和歌山県,"2020-11-23","2020-11-29",6
鳥取県,"2020-11-23","2020-11-29",1
島根県,"2020-11-23","2020-11-29",0
岡山県,"2020-11-23","2020-11-29",1
広島県,"2020-11-23","2020-11-29",20
山口県,"2020-11-23","2020-11-29",2
徳島県,"2020-11-23","2020-11-29",3
香川県,"2020-11-23","2020-11-29",8
愛媛県,"2020-11-23","2020-11-29",0
高知県,"2020-11-23","2020-11-29",1
福岡県,"2020-11-23","2020-11-29",8
佐賀県,"2020-11-23","2020-11-29",4
長崎県,"2020-11-23","2020-11-29",1
熊本県,"2020-11-23","2020-11-29",9
大分県,"2020-11-23","2020-11-29",8
宮崎県,"2020-11-23","2020-11-29",10
鹿児島県,"2020-11-23","2020-11-29",3
沖縄県,"2020-11-23","2020-11-29",0
北海道,"2020-11-30","2020-12-06",95
青森県,"2020-11-30","2020-12-06",2
岩手県,"2020-11-30","2020-12-06",6
宮城県,"2020-11-30","2020-12-06",29
秋田県,"2020-11-30","2020-12-06",0
山形県,"2020-11-30","2020-12-06",4
福島県,"2020-11-30","2020-12-06",2
茨城県,"2020-11-30","2020-12-06",9
栃木県,"2020-11-30","2020-12-06",3
群馬県,"2020-11-30","2020-12-06",0
埼玉県,"2020-11-30","2020-12-06",31
千葉県,"2020-11-30","2020-12-06",64
東京都,"2020-11-30","2020-12-06",631
神奈川県,"2020-11-30","2020-12-06",136
新潟県,"2020-11-30","2020-12-06",14
富山県,"2020-11-30","2020-12-06",2
石川県,"2020-11-30","2020-12-06",3
福井県,"2020-11-30","2020-12-06",0
山梨県,"2020-11-30","2020-12-06",9
長野県,"2020-11-30","2020-12-06",1
岐阜県,"2020-11-30","2020-12-06",0
静岡県,"2020-11-30","2020-12-06",3
愛知県,"2020-11-30","2020-12-06",16
三重県,"2020-11-30","2020-12-06",0
滋賀県,"2020-11-30","2020-12-06",0
京都府,"2020-11-30","2020-12-06",10
大阪府,"2020-11-30","2020-12-06",214
兵庫県,"2020-11-30","2020-12-06",12
奈良県,"2020-11-30","2020-12-06",2
和歌山県,"2020-11-30","2020-12-06",4
鳥取県,"2020-11-30","2020-12-06",0
島根県,"2020-11-30","2020-12-06",0
岡山県,"2020-11-30","2020-12-06",3
広島県,"2020-11-30","2020-12-06",33
山口県,"2020-11-30","2020-12-06",1
徳島県,"2020-11-30","2020-12-06",2
香川県,"2020-11-30","2020-12-06",9
愛媛県,"2020-11-30","2020-12-06",0
高知県,"2020-11-30","2020-12-06",7
福岡県,"2020-11-30","2020-12-06",18
佐賀県,"2020-11-30","2020-12-06",5
長崎県,"2020-11-30","2020-12-06",1
熊本県,"2020-11-30","2020-12-06",12
大分県,"2020-11-30","2020-12-06",5
宮崎県,"2020-11-30","2020-12-06",11
鹿児島県,"2020-11-30","2020-12-06",1
沖縄県,"2020-11-30","2020-12-06",0
北海道,"2020-12-07","2020-12-13",102
青森県,"2020-12-07","2020-12-13",1
岩手県,"2020-12-07","2020-12-13",6
宮城県,"2020-12-07","2020-12-13",33
秋田県,"2020-12-07","2020-12-13",0
山形県,"2020-12-07","2020-12-13",1
福島県,"2020-12-07","2020-12-13",3
茨城県,"2020-12-07","2020-12-13",20
栃木県,"2020-12-07","2020-12-13",2
群馬県,"2020-12-07","2020-12-13",0
埼玉県,"2020-12-07","2020-12-13",49
千葉県,"2020-12-07","2020-12-13",76
東京都,"2020-12-07","2020-12-13",676
神奈川県,"2020-12-07","2020-12-13",161
新潟県,"2020-12-07","2020-12-13",15
富山県,"2020-12-07","2020-12-13",0
石川県,"2020-12-07","2020-12-13",2
福井県,"2020-12-07","2020-12-13",0
山梨県,"2020-12-07","2020-12-13",7
長野県,"2020-12-07","2020-12-13",1
岐阜県,"2020-12-07","2020-12-13",0
静岡県,"2020-12-07","2020-12-13",4
愛知県,"2020-12-07","2020-12-13",11
三重県,"2020-12-07","2020-12-13",0
滋賀県,"2020-12-07","2020-12-13",0
京都府,"2020-12-07","2020-12-13",18
大阪府,"2020-12-07","2020-12-13",242
兵庫県,"2020-12-07","2020-12-13",18
奈良県,"2020-12-07","2020-12-13",4
和歌山県,"2020-12-07","2020-12-13",8
鳥取県,"2020-12-07","2020-12-13",0
島根県,"2020-12-07","2020-12-13",0
岡山県,"2020-12-07","2020-12-13",6
広島県,"2020-12-07","2020-12-13",35
山口県,"2020-12-07","2020-12-13",1
徳島県,"2020-12-07","2020-12-13",5
香川県,"2020-12-07","2020-12-13",4
愛媛県,"2020-12-07","2020-12-13",4
高知県,"2020-12-07","2020-12-13",3
福岡県,"2020-12-07","2020-12-13",12
佐賀県,"2020-12-07","2020-12-13",3
長崎県,"2020-12-07","2020-12-13",4
熊本県,"2020-12-07","2020-12-13",8
大分県,"2020-12-07","2020-12-13",4
宮崎県,"2020-12-07","2020-12-13",4
鹿児島県,"2020-12-07","2020-12-13",1
沖縄県,"2020-12-07","2020-12-13",0
北海道,"2020-12-14","2020-12-20",76
青森県,"2020-12-14","2020-12-20",2
岩手県,"2020-12-14","2020-12-20",5
宮城県,"2020-12-14","2020-12-20",48
秋田県,"2020-12-14","2020-12-20",0
山形県,"2020-12-14","2020-12-20",9
福島県,"2020-12-14","2020-12-20",6
茨城県,"2020-12-14","2020-12-20",11
栃木県,"2020-12-14","2020-12-20",6
群馬県,"2020-12-14","2020-12-20",0
埼玉県,"2020-12-14","2020-12-20",52
千葉県,"2020-12-14","2020-12-20",77
東京都,"2020-12-14","2020-12-20",742
神奈川県,"2020-12-14","2020-12-20",219
新潟県,"2020-12-14","2020-12-20",14
富山県,"2020-12-14","2020-12-20",1
石川県,"2020-12-14","2020-12-20",3
福井県,"2020-12-14","2020-12-20",0
山梨県,"2020-12-14","2020-12-20",7
長野県,"2020-12-14","2020-12-20",0
岐阜県,"2020-12-14","2020-12-20",0
静岡県,"2020-12-14","2020-12-20",3
愛知県,"2020-12-14","2020-12-20",17
三重県,"2020-12-14","2020-12-20",0
滋賀県,"2020-12-14","2020-12-20",0
京都府,"2020-12-14","2020-12-20",34
大阪府,"2020-12-14","2020-12-20",253
兵庫県,"2020-12-14","2020-12-20",43
奈良県,"2020-12-14","2020-12-20",7
和歌山県,"2020-12-14","2020-12-20",0
鳥取県,"2020-12-14","2020-12-20",0
島根県,"2020-12-14","2020-12-20",0
岡山県,"2020-12-14","2020-12-20",3
広島県,"2020-12-14","2020-12-20",61
山口県,"2020-12-14","2020-12-20",5
徳島県,"2020-12-14","2020-12-20",3
香川県,"2020-12-14","2020-12-20",7
愛媛県,"2020-12-14","2020-12-20",1
高知県,"2020-12-14","2020-12-20",7
福岡県,"2020-12-14","2020-12-20",9
佐賀県,"2020-12-14","2020-12-20",2
長崎県,"2020-12-14","2020-12-20",3
熊本県,"2020-12-14","2020-12-20",15
大分県,"2020-12-14","2020-12-20",6
宮崎県,"2020-12-14","2020-12-20",11
鹿児島県,"2020-12-14","2020-12-20",1
沖縄県,"2020-12-14","2020-12-20",0
北海道,"2020-12-21","2020-12-27",73
青森県,"2020-12-21","2020-12-27",2
岩手県,"2020-12-21","2020-12-27",7
宮城県,"2020-12-21","2020-12-27",55
秋田県,"2020-12-21","2020-12-27",0
山形県,"2020-12-21","2020-12-27",13
福島県,"2020-12-21","2020-12-27",5
茨城県,"2020-12-21","2020-12-27",10
栃木県,"2020-12-21","2020-12-27",3
群馬県,"2020-12-21","2020-12-27",0
埼玉県,"2020-12-21","2020-12-27",60
千葉県,"2020-12-21","2020-12-27",102
東京都,"2020-12-21","2020-12-27",835
神奈川県,"2020-12-21","2020-12-27",216
新潟県,"2020-12-21","2020-12-27",24
富山県,"2020-12-21","2020-12-27",0
石川県,"2020-12-21","2020-12-27",5
福井県,"2020-12-21","2020-12-27",0
山梨県,"2020-12-21","2020-12-27",13
長野県,"2020-12-21","2020-12-27",0
岐阜県,"2020-12-21","2020-12-27",0
静岡県,"2020-12-21","2020-12-27",7
愛知県,"2020-12-21","2020-12-27",22
三重県,"2020-12-21","2020-12-27",0
滋賀県,"2020-12-21","2020-12-27",0
京都府,"2020-12-21","2020-12-27",46
大阪府,"2020-12-21","2020-12-27",232
兵庫県,"2020-12-21","2020-12-27",35
奈良県,"2020-12-21","2020-12-27",1
和歌山県,"2020-12-21","2020-12-27",5
鳥取県,"2020-12-21","2020-12-27",0
島根県,"2020-12-21","2020-12-27",0
岡山県,"2020-12-21","2020-12-27",8
広島県,"2020-12-21","2020-12-27",46
山口県,"2020-12-21","2020-12-27",5
徳島県,"2020-12-21","2020-12-27",8
香川県,"2020-12-21","2020-12-27",9
愛媛県,"2020-12-21","2020-12-27",1
高知県,"2020-12-21","2020-12-27",10
福岡県,"2020-12-21","2020-12-27",18
佐賀県,"2020-12-21","2020-12-27",3
長崎県,"2020-12-21","2020-12-27",8
熊本県,"2020-12-21","2020-12-27",12
大分県,"2020-12-21","2020-12-27",8
宮崎県,"2020-12-21","2020-12-27",13
鹿児島県,"2020-12-21","2020-12-27",0
沖縄県,"2020-12-21","2020-12-27",0
北海道,"2020-12-28","2021-01-03",74
青森県,"2020-12-28","2021-01-03",1
岩手県,"2020-12-28","2021-01-03",4
宮城県,"2020-12-28","2021-01-03",44
秋田県,"2020-12-28","2021-01-03",0
山形県,"2020-12-28","2021-01-03",11
福島県,"2020-12-28","2021-01-03",2
茨城県,"2020-12-28","2021-01-03",18
栃木県,"2020-12-28","2021-01-03",10
群馬県,"2020-12-28","2021-01-03",0
埼玉県,"2020-12-28","2021-01-03",82
千葉県,"2020-12-28","2021-01-03",96
東京都,"2020-12-28","2021-01-03",1014
神奈川県,"2020-12-28","2021-01-03",232
新潟県,"2020-12-28","2021-01-03",23
富山県,"2020-12-28","2021-01-03",0
石川県,"2020-12-28","2021-01-03",6
福井県,"2020-12-28","2021-01-03",0
山梨県,"2020-12-28","2021-01-03",5
長野県,"2020-12-28","2021-01-03",0
岐阜県,"2020-12-28","2021-01-03",3
静岡県,"2020-12-28","2021-01-03",6
愛知県,"2020-12-28","2021-01-03",39
三重県,"2020-12-28","2021-01-03",0
滋賀県,"2020-12-28","2021-01-03",1
京都府,"2020-12-28","2021-01-03",51
大阪府,"2020-12-28","2021-01-03",292
兵庫県,"2020-12-28","2021-01-03",30
奈良県,"2020-12-28","2021-01-03",4
和歌山県,"2020-12-28","2021-01-03",11
鳥取県,"2020-12-28","2021-01-03",0
島根県,"2020-12-28","2021-01-03",0
岡山県,"2020-12-28","2021-01-03",4
広島県,"2020-12-28","2021-01-03",32
山口県,"2020-12-28","2021-01-03",0
徳島県,"2020-12-28","2021-01-03",7
香川県,"2020-12-28","2021-01-03",6
愛媛県,"2020-12-28","2021-01-03",3
高知県,"2020-12-28","2021-01-03",5
福岡県,"2020-12-28","2021-01-03",16
佐賀県,"2020-12-28","2021-01-03",3
長崎県,"2020-12-28","2021-01-03",6
熊本県,"2020-12-28","2021-01-03",10
大分県,"2020-12-28","2021-01-03",9
宮崎県,"2020-12-28","2021-01-03",19
鹿児島県,"2020-12-28","2021-01-03",0
沖縄県,"2020-12-28","2021-01-03",0
北海道,"2021-01-04","2021-01-10",81
青森県,"2021-01-04","2021-01-10",0
岩手県,"2021-01-04","2021-01-10",3
宮城県,"2021-01-04","2021-01-10",38
秋田県,"2021-01-04","2021-01-10",1
山形県,"2021-01-04","2021-01-10",3
福島県,"2021-01-04","2021-01-10",4
茨城県,"2021-01-04","2021-01-10",12
栃木県,"2021-01-04","2021-01-10",0
群馬県,"2021-01-04","2021-01-10",0
埼玉県,"2021-01-04","2021-01-10",83
千葉県,"2021-01-04","2021-01-10",129
東京都,"2021-01-04","2021-01-10",1384
神奈川県,"2021-01-04","2021-01-10",263
新潟県,"2021-01-04","2021-01-10",23
富山県,"2021-01-04","2021-01-10",0
石川県,"2021-01-04","2021-01-10",4
福井県,"2021-01-04","2021-01-10",0
山梨県,"2021-01-04","2021-01-10",16
長野県,"2021-01-04","2021-01-10",0
岐阜県,"2021-01-04","2021-01-10",2
静岡県,"2021-01-04","2021-01-10",9
愛知県,"2021-01-04","2021-01-10",57
三重県,"2021-01-04","2021-01-10",0
