都道府県,開始日,終了日,救急搬送困難事案数
群馬県,"2020-05-11","2020-05-17",0
埼玉県,"2020-05-11","2020-05-17",47
千葉県,"2020-05-11","2020-05-17",47
東京都,"2020-05-11","2020-05-17",617
神奈川県,"2020-05-11","2020-05-17",75
新潟県,"2020-05-11","2020-05-17",23
富山県,"2020-05-11","2020-05-17",3
石川県,"2020-05-11","2020-05-17",6
福井県,"2020-05-11","2020-05-17",0
山梨県,"2020-05-11","2020-05-17",5
長野県,"2020-05-11","2020-05-17",0
岐阜県,"2020-05-11","2020-05-17",1
静岡県,"2020-05-11","2020-05-17",1
愛知県,"2020-05-11","2020-05-17",8
三重県,"2020-05-11","2020-05-17",0
滋賀県,"2020-05-11","2020-05-17",0
京都府,"2020-05-11","2020-05-17",11
大阪府,"2020-05-11","2020-05-17",189
兵庫県,"2020-05-11","2020-05-17",27
奈良県,"2020-05-11","2020-05-17",0
和歌山県,"2020-05-11","2020-05-17",2
鳥取県,"2020-05-11","2020-05-17",0
島根県,"2020-05-11","2020-05-17",0
岡山県,"2020-05-11","2020-05-17",2
広島県,"2020-05-11","2020-05-17",15
山口県,"2020-05-11","2020-05-17",2
徳島県,"2020-05-11","2020-05-17",1
香川県,"2020-05-11","2020-05-17",5
愛媛県,"2020-05-11","2020-05-17",2
高知県,"2020-05-11","2020-05-17",6
福岡県,"2020-05-11","2020-05-17",8
佐賀県,"2020-05-11","2020-05-17",0
長崎県,"2020-05-11","2020-05-17",4
熊本県,"2020-05-11","2020-05-17",6
大分県,"2020-05-11","2020-05-17",2
宮崎県,"2020-05-11","2020-05-17",7
鹿児島県,"2020-05-11","2020-05-17",1
沖縄県,"2020-05-11","2020-05-17",0
北海道,"2020-05-18","2020-05-24",27
青森県,"2020-05-18","2020-05-24",0
岩手県,"2020-05-18","2020-05-24",3
宮城県,"2020-05-18","2020-05-24",15
秋田県,"2020-05-18","2020-05-24",0
山形県,"2020-05-18","2020-05-24",2
福島県,"2020-05-18","2020-05-24",1
茨城県,"2020-05-18","2020-05-24",7
栃木県,"2020-05-18","2020-05-24",3
群馬県,"2020-05-18","2020-05-24",2
埼玉県,"2020-05-18","2020-05-24",22
千葉県,"2020-05-18","2020-05-24",44
東京都,"2020-05-18","2020-05-24",437
